GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,关键词,数值
30.53564189,105.5893213,30.53286509,105.5927384,30.539156,105.599152,四川 遂宁市,34
31.90167286,102.2230962,31.8994415,102.2247538,31.905609,102.231186,四川 阿坝藏族羌族自治州,4
30.01797949,103.0378314,30.01539696,103.0398001,30.021277,103.04636,四川 雅安市,27
39.0839697,117.1931038,39.08498159,117.1994124,39.090908,117.205914,天津,590
37.4997225,105.1929685,37.5003013,105.1967558,37.506058,105.203332,宁夏 中卫市,12
37.9970073,106.1943808,37.99756114,106.1987957,38.003863,106.205161,宁夏 吴忠市,13
36.01599981,106.238387,36.01582624,106.2425927,36.021609,106.24917,宁夏 固原市,13
38.98325519,106.3794705,38.98408921,106.3841805,38.989783,106.39078,宁夏 石嘴山市,6
38.48600506,106.2280616,38.4864712,106.2324711,38.492392,106.238976,宁夏 银川市,127
33.84595624,115.7737894,33.84452613,115.7793309,33.850774,115.785767,安徽 亳州市,47
31.73694846,116.5181542,31.73490004,116.5232451,31.741226,116.529651,安徽 六安市,46
31.82251938,117.2235334,31.82052309,117.2290159,31.82687,117.235447,安徽 合肥市,862
30.54521187,117.0580923,30.54292045,117.0635211,30.548594,117.070127,安徽 安庆市,67
30.94287729,118.7535553,30.94066897,118.7586729,30.946576,118.765196,安徽 宣城市,34
33.64768212,116.9585445,33.6461013,116.9638928,33.652034,116.970454,安徽 宿州市,62
31.60496353,117.8686861,31.60283,117.8739539,31.608733,117.88049,安徽 巢湖市,2
30.66708631,117.4859323,30.66475158,117.4914201,30.67098,117.497839,安徽 池州,2
30.66708631,117.4859323,30.66475158,117.4914201,30.67098,117.497839,安徽 池州市,21
33.95614627,116.7929381,33.9547447,116.7983454,33.96064,116.804878,安徽 淮北市,46
32.62754482,116.9943608,32.6254847,116.9997628,32.631837,117.006189,安徽 淮南市,51
32.3038287,118.3114325,32.30180205,118.3168077,32.308165,118.323252,安徽 滁州市,45
31.35428752,118.4277422,31.35245062,118.4331335,31.358798,118.439561,安徽 芜湖市,108
32.9172956,117.3834341,32.91559343,117.3892759,32.921498,117.395835,安徽 蚌埠市,112
30.94708541,117.8069818,30.94481268,117.8123355,30.950899,117.818795,安徽 铜陵市,14
32.89161201,115.8095544,32.88964371,115.8149457,32.895879,115.821389,安徽 阜阳市,116
31.67263823,118.500891,31.67068435,118.5061105,31.67633,118.512691,安徽 马鞍山市,109
29.71766719,118.333419,29.71526789,118.3386171,29.721365,118.345096,安徽 黄山市,32
37.43297157,118.6690033,37.43362759,118.6746413,37.43999,118.681046,山东 东营市,186
35.10503762,118.35071,35.10462506,118.3564392,35.110531,118.36299,山东 临沂市,159
37.51237991,122.1166637,37.51341395,122.1217224,37.519322,122.128245,山东 威海市,68
37.43451462,116.3533998,37.43537511,116.3592899,37.441313,116.365825,山东 德州市,103
35.41671922,119.5217388,35.41646563,119.5272105,35.422798,119.533606,山东 日照市,83
34.81143715,117.3160767,34.81063113,117.3219561,34.816569,117.328513,山东 枣庄市,79
36.19973086,117.0823246,36.19996895,117.0883703,36.205905,117.094893,山东 泰安市,182
36.66505015,116.9891231,36.66526101,116.9948952,36.671627,117.001319,山东 济南市,577
35.41504394,116.5819409,35.41460672,116.5872356,35.420269,116.593852,山东 济宁市,185
36.8125585,118.0487315,36.81305671,118.0547879,36.819182,118.061254,山东 淄博市,129
37.38149589,117.9668692,37.38212677,117.9727487,37.388387,117.9792,山东 滨州市,54
36.70642746,119.1558681,36.70687907,119.1617636,36.713212,119.168138,山东 潍坊市,273
37.46252132,121.4427859,37.46351347,121.4480162,37.469868,121.454425,山东 烟台市,257
36.45694406,115.9798234,36.45700015,115.9854667,36.462681,115.992077,山东 聊城市,76
36.21361117,117.6707953,36.21358953,117.6766479,36.219357,117.683221,山东 莱芜市,22
35.23408495,115.4752727,35.2337081,115.4811414,35.239435,115.487696,山东 菏泽市,80
36.06598798,120.3778358,36.06625251,120.3829588,36.072358,120.389445,山东 青岛市,748
36.08842976,111.5133688,36.08832571,111.5196076,36.094052,111.526153,山西 临汾市,60
37.51862797,111.1352514,37.51942361,111.1416297,37.525476,111.148086,山西 吕梁市,33
40.07528338,113.2929518,40.07647387,113.2999578,40.082539,113.306446,山西 大同市,36
37.87002747,112.5443791,37.87056527,112.550693,37.876885,112.55706,山西 太原市,335
38.41612706,112.7276122,38.41669873,112.7341675,38.422382,112.740804,山西 忻州市,35
37.68628885,112.7463046,37.68697239,112.7527955,37.692757,112.759375,山西 晋中市,60
35.49082414,112.8450034,35.49043104,112.8511296,35.496081,112.857706,山西 晋城市,52
39.33039278,112.4249624,39.33156291,112.4318289,39.33789,112.438184,山西 朔州市,19
35.02703429,111.0012111,35.02626108,111.0069671,35.032587,111.013379,山西 运城市,64
36.19563036,113.109813,36.19580354,113.116481,36.201585,113.123046,山西 长治市,58
37.85614768,113.5740631,37.85666022,113.5804736,37.86234,113.587087,山西 阳泉市,23
23.0233805,113.7466104,23.02066519,113.7518031,23.026997,113.758231,广东 东莞市,638
22.51861826,113.387118,22.51592747,113.3925951,22.522262,113.399023,广东 中山市,141
22.91789569,112.0392158,22.91522264,112.0445105,22.921154,112.051045,广东 云浮市,32
23.02433008,113.1164384,23.0217925,113.1219262,23.027707,113.128432,广东 佛山市,343
23.13173466,113.2590285,23.12906597,113.26435,23.135308,113.270793,广东 广州市,5010
23.11322841,114.4118175,23.11074186,114.4167903,23.116409,114.423348,广东 惠州市,144
23.55207829,116.3680078,23.54967374,116.3727017,23.555773,116.37922,广东 揭阳市,37
24.29102039,116.1178135,24.28839957,116.1226415,24.294311,116.129179,广东 梅州市,81
23.35618536,116.677738,23.35352107,116.6821851,23.359289,116.688739,广东 汕头市,130
22.78829135,115.3701993,22.78565036,115.3751238,22.791322,115.381693,广东 汕尾市,43
22.58138724,113.0761478,22.57869763,113.0815873,22.584459,113.088165,广东 江门市,151
23.7462379,114.6959538,23.7435815,114.7006423,23.749829,114.707097,广东 河源市,28
22.54555379,114.0544374,22.54283882,114.0595443,22.548515,114.066112,广东 深圳市,1509
23.6844686,113.0506833,23.68198783,113.0561335,23.688238,113.062619,广东 清远市,59
21.27362818,110.354455,21.2712438,110.358945,21.277163,110.365494,广东 湛江市,99
23.65942306,116.6185965,23.65667147,116.622947,23.662923,116.62943,广东 潮州市,32
22.27372837,113.5716309,22.27073013,113.5766895,22.276392,113.583235,广东 珠海市,128
23.0495002,112.4600061,23.0469087,112.4652847,23.052984,112.47177,广东 肇庆市,69
21.66605854,110.9207281,21.66327672,110.9252235,21.669051,110.931773,广东 茂名市,68
21.86106396,111.9774782,21.85831569,111.9825315,21.864421,111.989051,广东 阳江市,46
24.81346819,113.5920235,24.81041534,113.5972216,24.816174,113.603757,广东 韶关市,47
21.48355887,109.1157643,21.48117791,109.1200612,21.486955,109.126614,广西 北海市,28
22.81940399,108.3628357,22.8167092,108.3668912,22.823037,108.373351,广西 南宁市,493
22.3817109,107.3606947,22.37895291,107.3648361,22.384864,107.371369,广西 崇左市,12
23.75476383,109.2180596,23.75213218,109.2223672,23.758226,109.228844,广西 来宾市,3
24.32812598,109.4109033,24.32544245,109.4155114,24.331519,109.42198,广西 柳州市,147
25.27648688,110.2854219,25.2736492,110.2899978,25.279893,110.296442,广西 桂林市,130
23.4796973,111.2739976,23.47710923,111.2790992,23.482873,111.285647,广西 梧州市,29
24.69567722,108.0811382,24.6929236,108.0853922,24.698828,108.091898,广西 河池市,19
22.65735814,110.176493,22.65457603,110.1809723,22.660656,110.18743,广西 玉林市,70
23.90504745,106.6149767,23.90213931,106.6183778,23.907845,106.624969,广西 百色市,14
23.11589342,109.5934592,23.11300725,109.5976542,23.118929,109.604155,广西 贵港市,5
24.40650587,111.5614192,24.40349185,111.5665529,24.409403,111.573078,广西 贺州市,6
21.98258738,108.6505549,21.9796924,108.6542939,21.985392,108.66089,广西 钦州市,36
21.68962184,108.3507271,21.68712454,108.3547075,21.693439,108.361138,广西 防城港市,17
43.82538176,87.61405085,43.82658935,87.61689399,43.832806,87.623314,新疆 乌鲁木齐市,148
43.91565126,81.32111666,43.91689567,81.32414755,43.922815,81.330697,新疆 伊犁,8
43.91565126,81.32111666,43.91689567,81.32414755,43.922815,81.330697,新疆 伊犁哈萨克自治州,12
39.71490827,76.16352546,39.71534158,76.1665939,39.721257,76.173127,新疆 克孜勒苏柯尔克孜,1
39.71490827,76.16352546,39.71534158,76.1665939,39.721257,76.173127,新疆 克孜勒苏柯尔克孜自治州,2
45.57919754,84.8868483,45.58000853,84.88925156,45.585765,84.89587,新疆 克拉玛依市,5
44.90498451,82.06335908,44.90599526,82.06662601,44.912168,82.073064,新疆 博尔塔拉蒙古自治州,2
42.94082549,89.18310915,42.94239632,89.18598448,42.948489,89.192419,新疆 吐鲁番市,2
42.81714255,93.51466841,42.8186734,93.5162992,42.824642,93.522785,新疆 哈密地区,4
39.47022462,75.98677843,39.4704441,75.98972349,39.476419,75.99625,新疆 喀什地区,8
46.74460019,82.97728814,46.74530971,82.98044242,46.751068,82.987095,新疆 塔城地区,2
41.76254706,86.14248883,41.76406363,86.14516031,41.770226,86.151584,新疆 巴音郭楞,15
41.76254706,86.14248883,41.76406363,86.14516031,41.770226,86.151584,新疆 巴音郭楞蒙古自治州,3
44.00987997,87.30511571,44.01118402,87.30820025,44.016923,87.314822,新疆 昌吉回族自治州,9
44.30533572,86.0760632,44.30657195,86.07890098,44.312423,86.085507,新疆 石河子市,12
41.16741952,80.25792391,41.16839285,80.26009113,41.174545,80.266525,新疆 阿克苏地区,12
47.84432298,88.1368684,47.84565159,88.14023725,47.851367,88.146856,新疆 阿勒泰地区,4
32.0604448,118.7912686,32.05838984,118.7964668,32.064735,118.802891,江苏 南京市,1649
31.98174916,120.8894937,31.97958344,120.8937102,31.985237,120.900301,江苏 南通市,234
33.9632713,118.2699746,33.96192328,118.2754731,33.967686,118.282062,江苏 宿迁市,67
31.81274503,119.968903,31.81068471,119.973629,31.816791,119.980142,江苏 常州市,306
34.20568556,117.2800142,34.20439459,117.2857488,34.210143,117.29235,江苏 徐州市,294
32.39548523,119.4071876,32.39361459,119.41267,32.39986,119.419107,江苏 扬州市,131
31.49284836,120.3077721,31.49095473,120.3123694,31.496704,120.318954,江苏 无锡市,574
32.45766848,119.9208036,32.45544603,119.9255351,32.4612,119.932115,江苏 泰州市,134
33.61156792,119.0104971,33.61015184,119.0159098,33.616272,119.022429,江苏 淮安,4
33.61156792,119.0104971,33.61015184,119.0159098,33.616272,119.022429,江苏 淮安市,123
33.35097396,120.1566574,33.34956258,120.1616249,33.355301,120.168187,江苏 盐城市,125
31.30050012,120.5790059,31.29832743,120.5831901,31.304566,120.589613,江苏 苏州市,725
34.59770353,119.2174149,34.59668351,119.2229509,34.602342,119.229571,江苏 连云港市,73
32.19146764,119.4195399,32.18960195,119.4249955,32.195688,119.431494,江苏 镇江市,103
28.45801434,117.9385935,28.45459981,117.9435556,28.460864,117.950028,江西 上饶市,63
29.70795464,115.9963828,29.70540135,116.0014522,29.711328,116.007993,江西 九江市,86
28.68531465,115.8530137,28.68201581,115.8579382,28.687675,115.864528,江西 南昌市,490
27.11719334,114.9887722,27.11382718,114.9937236,27.119751,115.00027,江西 吉安市,49
27.81751993,114.4108034,27.81442655,114.4161142,27.820089,114.422683,江西 宜春市,59
27.95099411,116.3530836,27.94784284,116.3580618,27.953603,116.364627,江西 抚州市,41
27.82124656,114.9122764,27.81778784,114.9171097,27.823541,114.923664,江西 新余市,22
29.27130124,117.1730576,29.26869004,117.1783952,29.274337,117.184967,江西 景德镇市,21
27.62626909,113.8489555,27.62288039,113.8542823,27.62897,113.86077,江西 萍乡市,37
25.83427812,114.930036,25.83108191,114.934746,25.837179,114.94126,江西 赣州市,95
28.26325195,117.0639315,28.26011478,117.069194,28.265879,117.075765,江西 鹰潭市,10
38.87307612,115.4582445,38.87399914,115.4645959,38.880055,115.471052,河北 保定市,155
39.62908483,118.1743222,39.63040279,118.1806146,39.636673,118.187036,河北 唐山市,237
39.53667779,116.6778339,39.53775768,116.6837187,39.54352,116.69034,河北 廊坊市,159
40.82308874,114.8814294,40.82442028,114.8875556,40.830172,114.894165,河北 张家口市,35
40.94993556,117.9570705,40.95149138,117.9633683,40.957855,117.969798,河北 承德市,29
38.30372796,116.8329375,38.30429629,116.8387311,38.31022,116.845272,河北 沧州市,93
38.04214947,114.5082933,38.04280433,114.5143068,38.048684,114.520828,河北 石家庄市,470
39.9342294,119.5939006,39.93533594,119.5996727,39.941259,119.606184,河北 秦皇岛市,48
37.73817911,115.6646586,37.73881119,115.6705327,37.745166,115.676942,河北 衡水市,55
37.07007852,114.4984914,37.07058787,114.5044406,37.076646,114.510889,河北 邢台市,77
36.62546471,114.5334573,36.62555513,114.5391973,36.631222,114.545808,河北 邯郸市,122
34.77348971,111.1943271,34.77252919,111.2003299,34.778442,111.206832,河南 三门峡市,55
32.14902398,114.0869118,32.14708006,114.0927966,32.153186,114.099264,河南 信阳,1
32.14902398,114.0869118,32.14708006,114.0927966,32.153186,114.099264,河南 信阳市,38
32.99259071,112.5226966,32.99062014,112.5285546,32.996701,112.535009,河南 南阳市,90
33.62741667,114.6914763,33.62584442,114.6969212,33.631958,114.703433,河南 周口市,46
34.41565227,115.6508417,34.41427602,115.6563241,34.420378,115.662798,河南 商丘市,61
36.09758527,114.3869908,36.09775433,114.3930741,36.103649,114.3996,河南 安阳市,145
33.76758132,113.1861119,33.7661677,113.192399,33.772051,113.198935,河南 平顶山市,59
34.79816483,114.3014663,34.7972618,114.3072921,34.802941,114.313904,河南 开封市,44
35.3038095,113.9208467,35.30321845,113.9267476,35.308973,113.933349,河南 新乡市,65
34.6191697,112.4473261,34.61816305,112.4536024,34.624376,112.460033,河南 洛阳市,451
35.06797106,112.5967757,35.0671149,112.6027087,35.072867,112.609314,河南 济源市,6
33.58297303,114.0108953,33.58145814,114.0167854,33.587703,114.02323,河南 漯河市,37
35.76181422,115.0234466,35.76180116,115.0293153,35.767586,115.035917,河南 濮阳市,49
35.2160646,113.2356569,35.21555618,113.2420245,35.221493,113.248557,河南 焦作市,100
34.03718463,113.8464664,34.03565102,113.8523619,34.041737,113.858804,河南 许昌市,46
34.74842163,113.6188781,34.74723141,113.6249184,34.753488,113.631349,河南 郑州市,878
33.01327414,114.0170865,33.01145245,114.0229498,33.017546,114.029465,河南 驻马店市,22
35.74707225,114.2915302,35.74698952,114.2974418,35.752656,114.304044,河南 鹤壁市,19
28.47062202,119.9185159,28.46721724,119.9229147,28.472979,119.929503,浙江 丽水市,37
28.65899252,121.4161387,28.6560505,121.4205697,28.662297,121.426996,浙江 台州市,175
30.7472793,120.7511794,30.74498339,120.7554924,30.750912,120.762045,浙江 嘉兴市,144
29.87640583,121.5461101,29.87383361,121.5502729,29.880177,121.556686,浙江 宁波市,446
30.27645541,120.1504383,30.27414837,120.1551537,30.280059,120.161693,浙江 杭州市,623
27.9981231,120.6953425,27.99483592,120.6993872,28.001095,120.705869,浙江 温州市,390
30.89514851,120.0831617,30.89310475,120.0880272,30.899015,120.094566,浙江 湖州市,62
30.03290008,120.5761279,30.03027163,120.5802102,30.036519,120.586673,浙江 绍兴市,190
29.98772797,122.2036121,29.98534445,122.207791,29.991092,122.214339,浙江 舟山市,38
28.93903006,118.8694093,28.93591753,118.874189,28.941661,118.880768,浙江 衢州市,28
29.08108344,119.6428921,29.07809702,119.6475806,29.084455,119.654027,浙江 金华市,234
20.04639294,110.195578,20.04428146,110.1998749,20.050057,110.206424,海南 海口市,221
30.3649101,113.4484525,30.36252649,113.4545036,30.368184,113.46109,湖北 仙桃市,5
32.63130141,110.7926818,32.62914214,110.798014,32.635042,110.80454,湖北 十堰市,100
29.84367278,114.3170563,29.8411975,114.3224476,29.847123,114.328967,湖北 咸宁市,27
30.92728724,113.9109641,30.92481156,113.9164519,30.930712,113.922962,湖北 孝感市,30
30.69428715,111.2807696,30.69184705,111.2864076,30.697602,111.292971,湖北 宜昌市,165
30.27467236,109.4832811,30.27214758,109.4881949,30.277908,109.494763,湖北 恩施土家族苗族自治州,40
30.59516686,114.2998018,30.59274732,114.3052306,30.598428,114.311831,湖北 武汉,5
30.59516686,114.2998018,30.59274732,114.3052306,30.598428,114.311831,湖北 武汉市,1327
30.60398896,114.2655121,30.60154197,114.2709248,30.607453,114.277466,湖北 江汉,27
30.33740733,112.2349553,30.33486095,112.2406684,30.340606,112.24722,湖北 荆州市,189
31.03768199,112.1936153,31.03548495,112.1994572,31.041792,112.205843,湖北 荆门市,88
32.01099373,112.1164473,32.00905138,112.1225413,32.014789,112.129089,湖北 襄阳市,154
30.39353624,114.8899026,30.39085261,114.8949452,30.396522,114.901557,湖北 鄂州市,25
31.69195133,113.3764055,31.69007547,113.3826175,31.696341,113.389071,湖北 随州市,22
30.45617181,114.8672949,30.4535222,114.8723642,30.459422,114.878872,湖北 黄冈市,48
30.20183524,115.0335326,30.19940602,115.0389078,30.205336,115.045433,湖北 黄石市,95
27.70061639,111.9890683,27.69727735,111.9945561,27.703196,112.001082,湖南 娄底市,35
29.35971019,113.123253,29.35716674,113.1292236,29.363262,113.135679,湖南 岳阳市,48
29.03465323,111.6929241,29.03161875,111.6985031,29.037723,111.704994,湖南 常德市,63
29.11954635,110.4734057,29.11672981,110.4783892,29.122477,110.484925,湖南 张家界市,8
27.57299661,109.9969208,27.56967769,110.0015932,27.575595,110.008116,湖南 怀化市,26
27.83076776,113.1281297,27.82764145,113.1339715,27.833737,113.140431,湖南 株洲市,55
26.42395887,111.6069905,26.42037044,111.6122315,26.426612,111.618703,湖南 永州市,37
27.83322184,112.9386713,27.82975902,112.9440787,27.83585,112.950575,湖南 湘潭市,40
28.31510147,109.7341896,28.3117202,109.738921,28.317399,109.745507,湖南 湘西,13
28.31510147,109.7341896,28.3117202,109.738921,28.317399,109.745507,湖南 湘西土家族苗族自治州,1
28.55706715,112.3494497,28.55391029,112.3551413,28.559818,112.361677,湖南 益阳市,32
26.89685303,112.5666955,26.89328413,112.5719419,26.899517,112.578397,湖南 衡阳市,70
27.24213815,111.462098,27.23893329,111.467693,27.245167,111.474133,湖南 邵阳市,39
25.77359038,113.0093547,25.77060026,113.0148264,25.776711,113.021311,湖南 郴州市,53
28.23138548,112.9333762,28.22787847,112.9388158,28.233971,112.945333,湖南 长沙市,433
35.60158566,103.2086565,35.60124108,103.2109096,35.607475,103.217303,甘肃 临夏回族自治州,5
36.06166399,103.8317605,36.06136043,103.8341852,36.067312,103.840692,甘肃 兰州市,232
39.77117387,98.28950055,39.77201087,98.29010672,39.778268,98.296514,甘肃 嘉峪关市,6
34.587162,105.731276,34.587162,105.731276,34.587162,105.731276,甘肃 天水市,13
35.58170399,104.6225649,35.58116298,104.6252257,35.587354,104.631662,甘肃 定西市,9
35.54351476,106.6610834,35.54303897,106.6652838,35.549266,106.671741,甘肃 平凉市,11
35.7101807,107.638176,35.70978432,107.6429128,35.716096,107.649305,甘肃 庆阳,1
35.7101807,107.638176,35.70978432,107.6429128,35.716096,107.649305,甘肃 庆阳市,11
38.9252931,100.4480939,38.92593584,100.4498051,38.932187,100.456221,甘肃 张掖市,9
37.92782187,102.6363087,37.92810117,102.6380092,37.934078,102.644524,甘肃 武威市,15
34.98438963,102.9093008,34.98326895,102.9110281,34.98901,102.917605,甘肃 甘南藏族自治州,5
36.54466769,104.1348638,36.54477975,104.1377016,36.550821,104.144182,甘肃 白银市,17
39.73175883,98.49326627,39.73260045,98.49392073,39.738615,98.500427,甘肃 酒泉市,32
38.51962269,102.1855661,38.52008436,102.1875885,38.525777,102.194197,甘肃 金昌市,10
33.40296195,104.9187757,33.40102297,104.9216564,33.406825,104.928233,甘肃 陇南市,6
26.2673543,117.6342922,26.26392445,117.6391792,26.269683,117.645742,福建 三明市,81
26.64484379,118.1728018,26.64157388,118.1778175,26.647662,118.1843,福建 南平市,51
24.48221033,118.084477,24.47955948,118.0894498,24.485821,118.095915,福建 厦门市,559
26.669115,119.5435931,26.66565391,119.5482065,26.671748,119.554701,福建 宁德市,139
24.87680839,118.6713292,24.87388355,118.6758514,24.880242,118.682316,福建 泉州市,534
24.51642408,117.642477,24.51342733,117.6472407,24.519197,117.653827,福建 漳州市,161
26.0772957,119.2916802,26.07417345,119.2964599,26.080447,119.302938,福建 福州市,657
25.45685458,119.0029823,25.45403565,119.0076708,25.45996,119.014232,福建 莆田市,95
25.07777983,117.0123717,25.07499093,117.0171943,25.081257,117.023668,福建 龙岩市,147
29.64680427,91.11294023,29.64410958,91.11450664,29.650088,91.121025,西藏 拉萨市,8
29.26540798,88.94747106,29.2621931,88.94955245,29.26816,88.956063,西藏 日喀则市,2
31.44477603,97.23708028,31.44248782,97.23754162,31.44848,97.244052,西藏 昌都市,2
29.6516313,94.36038442,29.64894594,94.3615485,29.654792,94.368109,西藏 林芝市,5
31.4783744,92.05007877,31.47613725,92.0513555,31.482375,92.0578,西藏 那曲地区,1
26.59695207,104.8276941,26.59334976,104.8302422,26.599086,104.836786,贵州 六盘水市,7
26.25724483,105.9428371,26.25369923,105.9461845,26.259904,105.952622,贵州 安顺市,8
27.40595927,105.3234526,27.40266379,105.3267732,27.408562,105.333323,贵州 毕节市,9
26.65065107,106.6266757,26.646988,106.630243,26.652747,106.636816,贵州 贵阳市,123
27.72896511,106.923418,27.72543231,106.9272267,27.731749,106.933658,贵州 遵义市,27
27.67219989,109.1574174,27.66900247,109.1620469,27.674903,109.168558,贵州 铜仁市,4
